,user,text,favorite_count,retweet_count,created_at
0,F1,"We think everyone saw that move, Carlos! 😄👏

#AbuDhabiGP #F1 https://t.co/huGcT64UuU",1590,97,2022-11-16 11:03:00+00:00
1,F1,"Many happy returns, Christian! 🎂

We hope you have a great day 🥳

#F1 @redbullracing https://t.co/RvCumVqsOy",10625,546,2022-11-16 10:23:00+00:00
2,F1,"The press conference question that kept going...and going 😆

#AbuDhabiGP #F1 https://t.co/AytsWG7O6r",10512,931,2022-11-16 09:42:53+00:00
3,F1,"All the emotions came out for Seb's first win for @ScuderiaFerrari 🤩💫

#DankeSeb #F1 https://t.co/P7XhBKVe1w",9674,1001,2022-11-15 22:13:00+00:00
4,F1,"P16 ➡️ P8

Esteban Ocon was full of praise for his team after finishing P8 on Sunday

#BrazilGP #F1

https://t.co/1ol3KdzDCt",1328,54,2022-11-15 21:44:00+00:00
5,F1,"A tense title battle was decided at a dramatic final race in 2016 ⚔️

And it was @NicoRosberg who held his nerve to race to world championship gold 🏆

#AbuDhabiGP #F1 https://t.co/s6f4KNWRso",3757,243,2022-11-15 21:05:00+00:00
6,F1,"Seb signed off with a final sing-song for @ScuderiaFerrari back in 2020 ❤️📻

#DankeSeb #F1 https://t.co/XyOBnMazIV",14250,1472,2022-11-15 20:33:00+00:00
7,F1,"Fernando waited for the perfect moment to attack 🎯

Relive the best onboards from a wild #BrazilGP 🍿

#F1 #FlyEmiratesFlyBetter @emirates",3559,237,2022-11-15 20:01:00+00:00
8,F1,"“We’re not competitive enough compared to the cars around us. It didn’t really matter what strategy we would do” 🗣️

#BrazilGP #F1

https://t.co/2Nee3DgNOy",1850,62,2022-11-15 19:39:00+00:00
9,F1,"Ice cool over the airwaves ❄️📻

@GeorgeRussell63 &amp; his race engineer kept it cool under pressure 👊

#BrazilGP @MercedesAMGF1 https://t.co/GFEsN7i7gu",10953,530,2022-11-15 19:01:00+00:00
10,F1,"A disappointing race for the Williams duo in Sao Paulo

#BrazilGP #F1

https://t.co/W1uGMPrVgc",1192,41,2022-11-15 18:12:00+00:00
11,F1,"Coach Valtteri 🤩

@ValtteriBottas offered his team mate some advice during #F1Sprint 👊

#BrazilGP @alfaromeoorlen https://t.co/c28Mke2Y2b",15528,861,2022-11-15 17:45:00+00:00
12,F1,"Britain's 20th #F1 winner... @GeorgeRussell63 🇬🇧🤩

#BrazilGP @MercedesAMGF1 https://t.co/Roo1fjP4Dd",19588,844,2022-11-15 17:00:01+00:00
13,F1,"A lovely move from Seb at Interlagos 😎🇧🇷

#BrazilGP @AstonMartinF1 https://t.co/3weDDQhTjU",3061,152,2022-11-15 16:28:00+00:00
14,F1,"That's DHL Fastest Pit Stop Award No.10 for @redbullracing in 2022 👏

Check out the leaderboard 👉 https://t.co/F2dWiQoaSC

#BrazilGP #MomentsThatDeliver @DHL_Motorsports https://t.co/UGrSjTtBcn",1908,112,2022-11-15 15:56:16+00:00
15,F1,"Mauro Forghieri, legendary Ferrari designer of the 1960s and 70s, passed away last week, aged 87

We take a look at the Italian's finest work - the Ferrari 312T 💫

#F1

https://t.co/MHB0pkuwsi",1198,75,2022-11-15 15:00:03+00:00
16,F1,"Valtteri on the gas down the main straight! 👊

#BrazilGP #F1 https://t.co/hZ8aoW4C3p",2325,113,2022-11-15 14:05:00+00:00
17,F1,"Alfa Romeo: 55 points
Aston Martin: 50 points

Aston Martin left Brazil frustrated after being outscored by their main rivals in the Constructors' standings

#BrazilGP #F1

https://t.co/wxKsc14qf8",2066,57,2022-11-15 13:45:00+00:00
18,F1,"Lando saw a gap at the start of the race and went for it 🤏

#BrazilGP #F1 https://t.co/YkqgkZnJ1i",8751,264,2022-11-15 13:21:00+00:00
19,F1,"The two key reasons why Ferrari opted against switching their drivers on Sunday 👀

#BrazilGP #F1

https://t.co/Vmngq5yOEZ",1459,49,2022-11-15 12:40:00+00:00
20,F1,"Just a kid with a dream 💫

@GeorgeRussell63 took his maiden win at the same track where he made his F1 weekend debut 🤩

#BrazilGP @MercedesAMGF1 https://t.co/W0vsfspX7K",6135,364,2022-11-15 11:51:27+00:00
21,F1,"K-Mag's maiden pole on Friday made Denmark the 24th nation to achieve pole position in #F1! 🤩🇩🇰

#BrazilGP @KevinMagnussen https://t.co/OHc6Jc5Nw4",21339,714,2022-11-15 10:32:44+00:00
